MATNR	BISMT	MEINS
000000000004006087	C591	G
000000000004006091	ECH-4683	G
000000000004006084	R734	G
000000000004001205	B185	G
000000000004001186	9582	G
000000000004001142	5113	G
000000000004001165	7890	G
000000000004002588	Q576	G
000000000004002764	O308	G
000000000004002668	Q471	G
000000000004002667	Q470	G
000000000004002665	Q453	G
000000000004002553	1486	G
000000000004002412	H511	G
000000000004002383	P170	G
000000000004002381	P423	G
000000000004002357	Q363	G
000000000004002349	Q364	G
000000000004002348	Q362	G
000000000004002346	Q357	G
000000000004002250	Q602	G
000000000004002248	Q598	G
000000000004002243	Q596	G
000000000004002242	Q595	G
000000000004002237	1459	G
000000000004002199	J851	G
000000000004002198	I436	G
000000000004002196	A322	G
000000000004002115	Q484	G
000000000004002114	Q485	G
000000000004002094	Q153	G
000000000004001999	Q434	G
000000000004001970	Q180	G
000000000004001961	Q445	G
000000000004001957	Q438	G
000000000004001951	Q426	G
000000000004001947	Q433	G
000000000004001946	Q432	G
000000000004001945	Q431	G
000000000004001939	Q367	G
000000000004001921	Q354	G
000000000004001877	P367	G
000000000004002762	P986	G
000000000004001919	5433	G
000000000004002099	L021	G
000000000004002249	Q599	G
000000000004002240	Q575	G
000000000004001938	Q419	G
000000000004002093	F907	G
000000000004001953	Q435	G
000000000004001880	P173	G
000000000004001876	I518	G
000000000004002362	F108	G
000000000004002195	A108	G
000000000004004056	Q707	G
000000000004002765	8583	G
000000000004002193	Q572	G
000000000004001879	P455	G
000000000004002347	Q360	G
000000000004001959	Q440	G
000000000004001958	Q439	G
000000000004002149	P978	G
000000000004002154	G075	G
000000000004002664	Q452	G
000000000004002098	4775	G
000000000004002360	G662	G
000000000004005342	S834	G
000000000004002599	Q645	G
000000000004002005	P171	G
000000000004002003	Q365	G
000000000004002200	Q366	G
000000000004002605	Q474	G
000000000004001929	P422	G
000000000004002666	Q469	G
000000000004002116	Q472	G
000000000004002117	Q473	G
000000000004002118	Q475	G
000000000004002119	Q476	G
000000000004002121	Q478	G
000000000004002122	Q479	G
000000000004002123	Q480	G
000000000004002124	Q481	G
000000000004002125	Q482	G
000000000004002126	Q483	G
000000000004002127	Q491	G
000000000004002130	H507	G
000000000004002591	Q656	G
000000000004002374	Q649	G
000000000004002097	Q450	G
000000000004002197	A485	G
000000000004002382	Q629	G
000000000004002370	Q646	G
000000000004002371	Q640	G
000000000004002372	Q666	G
000000000004002373	Q647	G
000000000004002375	Q651	G
000000000004002001	Q155	G
000000000004002120	Q477	G
000000000004006083	R728	G
000000000004002004	P174	G
000000000004002555	I026	G
000000000004002557	I026	G
000000000004002558	I026	G
000000000004002761	P986	G
000000000004002763	Q308	G
000000000004002597	Q597	G
000000000004002578	TEMPLATE MP-ERREUR	G
000000000004005855	Q009	G
000000000008000110		G
000000000004003460	MP00567	G
000000000004003451		G
000000000004003406	TEMPLATE MP	G
000000000004003154		G
000000000004003115		G
000000000004003104		G
000000000004002210	J861	G
000000000004002202	Q574	G
000000000004002201	Q573	G
000000000004001840	TEMPLATE MP	G
000000000003000824	1111	G
000000000004005336	T356	G
000000000004003372	R263	G
000000000004001593	P807	G
000000000004001272	F341	G
000000000004002690	F493	G
000000000004003243	8283	G
000000000004003287	E964	G
000000000004003461	R647	G
000000000004003462	R934	G
000000000004003284	R518	G
000000000004003152	R791	G
000000000004003114	ECH-3291-MP00403	G
000000000004003182	R763	G
000000000004001458	M285	G
000000000004001457	M284	G
000000000004001456	M283	G
000000000004001455	M282	G
000000000004001452	M201	G
000000000004001438	L764	G
000000000004001435	L761	G
000000000004001391	K095	G
000000000004001387	K035	G
000000000004001235	D182	G
000000000004001386	J860	G
000000000004001483	N703	G
000000000004004093	R918	G
000000000004001304	G209	G
000000000004001606	P938	G
000000000004001605	P937	G
000000000004001598	P812	G
000000000004001594	P808	G
000000000004001592	P678	G
000000000004001591	P677	G
000000000004001590	P660	G
000000000004001584	P517	G
000000000004001583	P516	G
000000000004001574	P499	G
000000000004001573	P494	G
000000000004001571	P491	G
000000000004001565	P459	G
000000000004001556	P267	G
000000000004001555	P188	G
000000000004001554	P187	G
000000000004001553	P186	G
000000000004001551	P181	G
000000000004001550	P180	G
000000000004001547	P093	G
000000000004001546	P092	G
000000000004001544	P017	G
000000000004001542	O866	G
000000000004001541	O863	G
000000000004001540	O862	G
000000000004001539	O861	G
000000000004001538	O860	G
000000000004001526	O835	G
000000000004001525	O834	G
000000000004001524	O711	G
000000000004001515	O313	G
000000000004001507	O244	G
000000000004001506	O238	G
000000000004001501	O174	G
000000000004001499	O172	G
000000000004001498	O171	G
000000000004001497	O170	G
