MATNR	VERPR	PEINH
000000000004000349	50.63	1000
000000000007000043	200.00	1000
000000000004002792	68.50	1000
000000000004001372	110.14	1000
000000000004004368	578.30	1000
000000000004000369	6.88	1000
000000000004001144	13.61	1000
000000000004001187	45.18	1000
000000000004001334	11.96	1000
000000000004001398	10.04	1000
000000000004001235	80.89	1000
000000000004003829	41.73	1000
000000000004001244	530.11	1000
000000000004000404	38.47	1000
000000000004001345	127.47	1000
000000000004001502	133.09	1000
000000000004000365	8.75	1000
000000000004000366	13.92	1000
000000000004002197	2.81	1000
000000000004005963	109.00	1000
000000000004001582	84.65	1000
000000000004003155	114741.94	1000
000000000004005017	114.15	1000
000000000004000340	8.76	1000
000000000004001579	18.34	1000
000000000004000363	1.87	1000
000000000004000376	1.98	1000
000000000007002225	368.01	1000
000000000004000377	25.27	1000
000000000004000388	84.23	1000
000000000007002422	221.01	1000
000000000004003290	16.14	1000
000000000004001534	70.83	1000
000000000004001197	225.53	1000
000000000004001228	47.68	1000
000000000004001236	14.95	1000
000000000004001264	30.00	1000
000000000004001298	7.07	1000
000000000004001307	47.81	1000
000000000004001338	44.02	1000
000000000004001355	77.26	1000
000000000004001360	63.93	1000
000000000007001012	69.17	1000
000000000004001451	13.56	1000
000000000004001470	55.27	1000
000000000007002424	198.00	1000
000000000004005156	3.19	1
000000000004005675	680.00	1000
000000000007002423	194.00	1000
000000000004001509	182.57	1000
000000000004001510	41.72	1000
000000000004001527	52.75	1000
000000000004001530	48.87	1000
000000000004005872	461.87	1000
000000000007000012	1196.94	1000
000000000004001308	79.77	1000
000000000004001567	48.00	1000
000000000004001569	2957.44	1000
000000000004000645	61.11	1000
000000000004001570	1265.01	1000
000000000004001576	6.59	1000
000000000004001460	99.51	1000
000000000004001162	54.68	1000
000000000004001580	11.08	1000
000000000004001169	35.88	1000
000000000004000359	11.84	1000
000000000004001581	254.93	1000
000000000004001589	69.40	1000
000000000004001356	32.72	1000
000000000004001927	14.98	1000
000000000004001949	55.68	1000
000000000004001950	58.74	1000
000000000004002001	5.79	1000
000000000004003156	8.59	1000
